[2020-12-16T19:48:53.771] Program Started
[2020-12-16T19:48:54.129] Workout Loaded: res\premade\0001.txt
[2020-12-16T19:48:54.153] Workout Loaded: res\premade\0002.txt
[2020-12-16T19:48:54.156] Workout Loaded: res\premade\0003.txt
[2020-12-16T19:48:54.160] Workout Loaded: res\premade\0004.txt
[2020-12-16T19:48:54.163] Workout Loaded: res\premade\0005.txt
[2020-12-16T19:48:54.171] Workout Loaded: res\premade\0006.txt
[2020-12-16T19:48:54.178] Workout Loaded: res\premade\0007.txt
[2020-12-16T19:48:54.181] Workout Loaded: res\premade\0008.txt
[2020-12-16T19:48:54.184] Workout Loaded: res\premade\0009.txt
[2020-12-16T19:48:54.189] Workout Loaded: res\premade\0010.txt
[2020-12-16T19:48:54.192] Workout Loaded: res\premade\0011.txt
[2020-12-16T19:48:54.195] Workout Loaded: res\premade\0012.txt
[2020-12-16T19:48:54.198] Workout Loaded: res\premade\0013.txt
[2020-12-16T19:48:54.201] Workout Loaded: res\premade\0014.txt
[2020-12-16T19:48:54.206] Workout Loaded: res\premade\0015.txt
[2020-12-16T19:48:54.219] Workout Loaded: res\premade\0016.txt
[2020-12-16T19:48:54.220] Workout Loaded: res\premade\0017.txt
[2020-12-16T19:48:54.223] Workout Loaded: res\premade\0018.txt
[2020-12-16T19:48:54.225] Workout Loaded: res\premade\0019.txt
[2020-12-16T19:48:54.227] Workout Loaded: res\premade\0020.txt
[2020-12-16T19:48:54.229] Workout Loaded: res\premade\0021.txt
[2020-12-16T19:48:54.231] Workout Loaded: res\premade\0022.txt
[2020-12-16T19:48:54.233] Workout Loaded: res\premade\0023.txt
[2020-12-16T19:48:54.235] Workout Loaded: res\premade\0024.txt
[2020-12-16T19:48:54.238] Workout Loaded: res\premade\0025.txt
[2020-12-16T19:48:54.239] Workout Loaded: res\premade\0026.txt
[2020-12-16T19:48:54.242] Workout Loaded: res\premade\0027.txt
[2020-12-16T19:48:54.251] Workout Loaded: res\premade\0028.txt
[2020-12-16T19:48:54.253] Workout Loaded: res\premade\0029.txt
[2020-12-16T19:48:54.256] Workout Loaded: res\premade\0030.txt
[2020-12-16T19:48:54.259] Workout Loaded: res\premade\0031.txt
[2020-12-16T19:48:54.279] Workout Loaded: res\premade\0032.txt
[2020-12-16T19:48:54.283] Workout Loaded: res\premade\0033.txt
[2020-12-16T19:48:54.284] Workout Loaded: res\premade\0034.txt
[2020-12-16T19:48:54.287] Workout Loaded: res\premade\0035.txt
[2020-12-16T19:48:54.288] Workout Loaded: res\premade\0036.txt
[2020-12-16T19:48:54.291] Workout Loaded: res\premade\0037.txt
[2020-12-16T19:48:54.293] Workout Loaded: res\premade\0038.txt
[2020-12-16T19:48:54.299] Workout Loaded: res\premade\0039.txt
[2020-12-16T19:48:54.300] Workout Loaded: res\premade\0040.txt
[2020-12-16T19:48:54.302] Workout Loaded: res\premade\0041.txt
[2020-12-16T19:48:54.303] Workout Loaded: res\premade\0042.txt
